# --- items.txt ---
# Format: item_id,amount,buy_price,buy_damage,shop,category,sell_price,sell_damage

# == BANK ==
stripped_bamboo_block,16,55,0,workshop,stripped_logs,16,0
stripped_pale_oak_log,16,105,0,workshop,stripped_logs,31,0

# Category: wood
oak_wood,16,50,0,workshop,wood,15,0
spruce_wood,16,50,0,workshop,wood,15,0
birch_wood,16,50,0,workshop,wood,15,0
jungle_wood,16,60,0,workshop,wood,18,0
acacia_wood,16,60,0,workshop,wood,18,0
dark_oak_wood,16,60,0,workshop,wood,18,0
mangrove_wood,16,70,0,workshop,wood,20,0
cherry_wood,16,70,0,workshop,wood,20,0
crimson_hyphae,16,80,0,workshop,wood,25,0
warped_hyphae,16,80,0,workshop,wood,25,0
pale_oak_wood,16,110,0,workshop,wood,33,0

# Category: stripped_wood
stripped_oak_wood,16,55,0,workshop,stripped_wood,16,0
stripped_spruce_wood,16,55,0,workshop,stripped_wood,16,0
stripped_birch_wood,16,55,0,workshop,stripped_wood,16,0
stripped_jungle_wood,16,65,0,workshop,stripped_wood,19,0
stripped_acacia_wood,16,65,0,workshop,stripped_wood,19,0
stripped_dark_oak_wood,16,65,0,workshop,stripped_wood,19,0
stripped_mangrove_wood,16,75,0,workshop,stripped_wood,22,0
stripped_cherry_wood,16,75,0,workshop,stripped_wood,22,0
stripped_crimson_hyphae,16,85,0,workshop,stripped_wood,26,0
stripped_warped_hyphae,16,85,0,workshop,stripped_wood,26,0
stripped_pale_oak_wood,16,115,0,workshop,stripped_wood,34,0

# Category: planks
oak_planks,32,25,0,workshop,planks,8,0
spruce_planks,32,25,0,workshop,planks,8,0
birch_planks,32,25,0,workshop,planks,8,0
jungle_planks,32,30,0,workshop,planks,10,0
acacia_planks,32,30,0,workshop,planks,10,0
dark_oak_planks,32,30,0,workshop,planks,10,0
mangrove_planks,32,35,0,workshop,planks,11,0
cherry_planks,32,35,0,workshop,planks,11,0
crimson_planks,32,40,0,workshop,planks,12,0
warped_planks,32,40,0,workshop,planks,12,0
bamboo_planks,32,30,0,workshop,planks,10,0
bamboo_mosaic,32,40,0,workshop,planks,12,0
pale_oak_planks,32,60,0,workshop,planks,18,0

# Category: wood_boats
oak_boat,1,80,0,workshop,wood_boats,25,0
oak_chest_boat,1,120,0,workshop,chest_boats,35,0
spruce_boat,1,80,0,workshop,wood_boats,25,0
spruce_chest_boat,1,120,0,workshop,chest_boats,35,0
birch_boat,1,80,0,workshop,wood_boats,25,0
birch_chest_boat,1,120,0,workshop,chest_boats,35,0
jungle_boat,1,90,0,workshop,wood_boats,28,0
jungle_chest_boat,1,130,0,workshop,chest_boats,38,0
acacia_boat,1,90,0,workshop,wood_boats,28,0
acacia_chest_boat,1,130,0,workshop,chest_boats,38,0
dark_oak_boat,1,90,0,workshop,wood_boats,28,0
dark_oak_chest_boat,1,130,0,workshop,chest_boats,38,0
mangrove_boat,1,100,0,workshop,wood_boats,30,0
mangrove_chest_boat,1,140,0,workshop,chest_boats,40,0
cherry_boat,1,100,0,workshop,wood_boats,30,0
cherry_chest_boat,1,140,0,workshop,chest_boats,40,0
bamboo_raft,1,90,0,workshop,wood_boats,28,0
bamboo_chest_raft,1,130,0,workshop,chest_boats,38,0
pale_oak_boat,1,120,0,workshop,wood_boats,35,0
pale_oak_chest_boat,1,160,0,workshop,chest_boats,50,0

# Category: redstone
redstone,16,50,0,workshop,redstone,15,0
redstone_torch,8,40,0,workshop,redstone,12,0
repeater,1,60,0,workshop,redstone,20,0
comparator,1,70,0,workshop,redstone,22,0
piston,1,100,0,workshop,redstone,30,0
sticky_piston,1,150,0,workshop,redstone,50,0
observer,1,90,0,workshop,redstone,28,0
dispenser,1,80,0,workshop,redstone,25,0
dropper,1,70,0,workshop,redstone,20,0
hopper,1,250,0,workshop,redstone,80,0
lever,4,30,0,workshop,redstone,10,0
stone_button,4,20,0,workshop,redstone,6,0
light_weighted_pressure_plate,1,150,0,workshop,redstone,50,0
heavy_weighted_pressure_plate,1,120,0,workshop,redstone,40,0
tripwire_hook,2,50,0,workshop,redstone,15,0
daylight_detector,1,120,0,workshop,redstone,40,0
target,1,80,0,workshop,redstone,25,0
lightning_rod,1,200,0,workshop,redstone,65,0
sculk_sensor,1,300,0,workshop,redstone,100,0
calibrated_sculk_sensor,1,500,0,workshop,redstone,170,0
crafter,1,400,0,workshop,redstone,130,0

# Category: rails
rail,32,100,0,workshop,rails,30,0
detector_rail,8,180,0,workshop,rails,60,0
activator_rail,8,200,0,workshop,rails,65,0
golden_rail,8,250,0,workshop,rails,80,0 # Same as powered_rail

# Category: minecarts
minecart,1,150,0,workshop,minecarts,50,0
chest_minecart,1,200,0,workshop,minecarts,65,0
tnt_minecart,1,250,0,workshop,minecarts,80,0
hopper_minecart,1,400,0,workshop,minecarts,130,0

# Category: smithing_gear
netherite_upgrade_smithing_template,1,2500,0,workshop,smithing_gear,800,0
sentry_armor_trim_smithing_template,1,700,0,workshop,smithing_gear,200,0
dune_armor_trim_smithing_template,1,700,0,workshop,smithing_gear,200,0
coast_armor_trim_smithing_template,1,700,0,workshop,smithing_gear,200,0
wild_armor_trim_smithing_template,1,700,0,workshop,smithing_gear,200,0
ward_armor_trim_smithing_template,1,900,0,workshop,smithing_gear,300,0
eye_armor_trim_smithing_template,1,900,0,workshop,smithing_gear,300,0
vex_armor_trim_smithing_template,1,700,0,workshop,smithing_gear,200,0
tide_armor_trim_smithing_template,1,900,0,workshop,smithing_gear,300,0
snout_armor_trim_smithing_template,1,700,0,workshop,smithing_gear,200,0
rib_armor_trim_smithing_template,1,700,0,workshop,smithing_gear,200,0
spire_armor_trim_smithing_template,1,700,0,workshop,smithing_gear,200,0
wayfinder_armor_trim_smithing_template,1,600,0,workshop,smithing_gear,180,0
shaper_armor_trim_smithing_template,1,600,0,workshop,smithing_gear,180,0
silence_armor_trim_smithing_template,1,1200,0,workshop,smithing_gear,400,0
raiser_armor_trim_smithing_template,1,600,0,workshop,smithing_gear,180,0
host_armor_trim_smithing_template,1,600,0,workshop,smithing_gear,180,0
flow_armor_trim_smithing_template,1,1000,0,workshop,smithing_gear,350,0
bolt_armor_trim_smithing_template,1,1000,0,workshop,smithing_gear,350,0

# Category: brewing_gear
brewing_stand,1,300,0,workshop,brewing_gear,100,0
cauldron,1,150,0,workshop,brewing_gear,50,0
glass_bottle,3,15,0,workshop,brewing_gear,5,0
blaze_powder,4,280,0,workshop,brewing_gear,80,0
blaze_rod,1,150,0,workshop,brewing_gear,45,0

# Category: workshop_misc
end_crystal,1,800,0,workshop,workshop_misc,250,0
nether_star,1,10000,0,workshop,workshop_misc,3000,0
ender_pearl,4,100,0,workshop,workshop_misc,30,0
shulker_shell,1,200,0,workshop,workshop_misc,70,0
wind_charge,8,100,0,workshop,workshop_misc,30,0
firework_rocket,16,80,0,workshop,workshop_misc,25,-1
bundle,1,150,0,workshop,workshop_misc,50,-1
phantom_membrane,1,150,0,workshop,workshop_misc,50,0
zvortex:moneyz_menu,1,1265,0,workshop,workshop_misc,50,0
iron_nugget,9,35,0,workshop,workshop_misc,10,0
gold_nugget,9,50,0,workshop,workshop_misc,15,0
netherite_scrap,1,500,0,workshop,workshop_misc,150,0
stick,32,10,0,workshop,workshop_misc,3,0
iron_bars,16,80,0,workshop,workshop_misc,25,0
chain,8,100,0,workshop,workshop_misc,30,0
noteblock,1,70,0,workshop,workshop_misc,20,0
jukebox,1,250,0,workshop,workshop_misc,80,0
slime_ball,8,100,0,workshop,workshop_misc,30,0
nautilus_shell,1,200,0,workshop,workshop_misc,65,0
heart_of_the_sea,1,5000,0,workshop,workshop_misc,1500,0
sculk,16,120,0,workshop,workshop_misc,40,0
sculk_vein,16,80,0,workshop,workshop_misc,25,0
sculk_shrieker,1,600,0,workshop,workshop_misc,200,0
sculk_catalyst,1,400,0,workshop,workshop_misc,130,0
echo_shard,1,800,0,workshop,workshop_misc,250,0
recovery_compass,1,1200,0,workshop,workshop_misc,380,0
amethyst_shard,4,100,0,workshop,workshop_misc,30,0
spyglass,1,180,0,workshop,workshop_misc,60,0
crafting_table,1,20,0,workshop,workshop_misc,5,0
furnace,1,30,0,workshop,workshop_misc,10,0
blast_furnace,1,100,0,workshop,workshop_misc,35,0
smoker,1,100,0,workshop,workshop_misc,35,0
chest,1,30,0,workshop,workshop_misc,10,0
ender_chest,1,500,0,workshop,workshop_misc,170,0
anvil,1,500,0,workshop,workshop_misc,170,-1
grindstone,1,80,0,workshop,workshop_misc,25,0
smithing_table,1,120,0,workshop,workshop_misc,40,0
cartography_table,1,70,0,workshop,workshop_misc,20,0
fletching_table,1,70,0,workshop,workshop_misc,20,0
loom,1,70,0,workshop,workshop_misc,20,0
stonecutter_block,1,60,0,workshop,workshop_misc,20,0
lodestone,1,800,0,workshop,workshop_misc,270,0
respawn_anchor,1,1000,0,workshop,workshop_misc,350,0
bell,1,200,0,workshop,workshop_misc,70,0
composter,1,50,0,workshop,workshop_misc,15,0
barrel,1,40,0,workshop,workshop_misc,12,0
lectern,1,100,0,workshop,workshop_misc,35,0
scaffolding,16,50,0,workshop,workshop_misc,15,0
honey_block,1,120,0,workshop,workshop_misc,40,0
slime,1,150,0,workshop,workshop_misc,50,0
tnt,1,100,0,workshop,workshop_misc,35,0
beacon,1,8000,0,workshop,workshop_misc,2500,0
conduit,1,2500,0,workshop,workshop_misc,800,0
trial_key,1,500,0,workshop,workshop_misc,150,0
ominous_trial_key,1,1000,0,workshop,workshop_misc,300,0
heavy_core,1,2000,0,workshop,workshop_misc,600,0
creaking_heart,1,15000,0,workshop,workshop_misc,4500,0
disc_fragment_5,1,500,0,workshop,workshop_misc,150,0
charcoal,8,50,0,workshop,workshop_misc,15,0
ender_eye,1,250,0,workshop,workshop_misc,80,0
ominous_bottle,1,300,0,workshop,workshop_misc,100,0
honeycomb_block,1,110,0,workshop,workshop_misc,35,0 
flint_and_steel,1,80,0,workshop,workshop_misc,25,-1
shears,1,70,0,workshop,workshop_misc,20,-1
brush,1,150,0,workshop,workshop_misc,50,-1
campfire,1,100,0,workshop,workshop_misc,30,0
soul_campfire,1,120,0,workshop,workshop_misc,38,0
carved_pumpkin,1,60,0,workshop,workshop_misc,18,0
trial_spawner,1,10000,0,workshop,workshop_misc,0,0
frame,1,50,0,workshop,workshop_misc,15,0
glow_frame,1,80,0,workshop,workshop_misc,25,0
painting,1,60,0,workshop,workshop_misc,20,0

# Shulker Boxes
undyed_shulker_box,1,600,0,workshop,shulker_boxes,200,0
white_shulker_box,1,620,0,workshop,shulker_boxes,210,0
orange_shulker_box,1,620,0,workshop,shulker_boxes,210,0
magenta_shulker_box,1,620,0,workshop,shulker_boxes,210,0
light_blue_shulker_box,1,620,0,workshop,shulker_boxes,210,0
yellow_shulker_box,1,620,0,workshop,shulker_boxes,210,0
lime_shulker_box,1,620,0,workshop,shulker_boxes,210,0
pink_shulker_box,1,620,0,workshop,shulker_boxes,210,0
gray_shulker_box,1,620,0,workshop,shulker_boxes,210,0
light_gray_shulker_box,1,620,0,workshop,shulker_boxes,210,0
cyan_shulker_box,1,620,0,workshop,shulker_boxes,210,0
purple_shulker_box,1,620,0,workshop,shulker_boxes,210,0
blue_shulker_box,1,620,0,workshop,shulker_boxes,210,0
brown_shulker_box,1,620,0,workshop,shulker_boxes,210,0
green_shulker_box,1,620,0,workshop,shulker_boxes,210,0
red_shulker_box,1,620,0,workshop,shulker_boxes,210,0
black_shulker_box,1,620,0,workshop,shulker_boxes,210,0

# == Shop: crafters_shop ==

# Category: natural_blocks
dirt,32,15,0,crafters_shop,natural_blocks,5,0
coarse_dirt,32,20,0,crafters_shop,natural_blocks,7,0
rooted_dirt,16,50,0,crafters_shop,natural_blocks,15,0
gravel,32,20,0,crafters_shop,natural_blocks,7,0
sand,32,15,0,crafters_shop,natural_blocks,5,0
red_sand,32,25,0,crafters_shop,natural_blocks,8,0
clay,16,30,0,crafters_shop,natural_blocks,10,0 # clay block
clay_ball,64,20,0,crafters_shop,natural_blocks,6,0 # clay item
moss_block,16,80,0,crafters_shop,natural_blocks,25,0
pale_moss_block,8,160,0,crafters_shop,natural_blocks,50,0
mud,16,25,0,crafters_shop,natural_blocks,8,0
packed_mud,16,30,0,crafters_shop,natural_blocks,10,0
soul_sand,16,40,0,crafters_shop,natural_blocks,12,0
soul_soil,16,40,0,crafters_shop,natural_blocks,12,0
mycelium,8,100,0,crafters_shop,natural_blocks,30,0
podzol,8,60,0,crafters_shop,natural_blocks,18,0
grass_block,16,25,0,crafters_shop,natural_blocks,8,0
ice,16,30,0,crafters_shop,natural_blocks,10,0
packed_ice,16,60,0,crafters_shop,natural_blocks,18,0
blue_ice,16,200,0,crafters_shop,natural_blocks,60,0
powder_snow_bucket,1,100,0,crafters_shop,natural_blocks,30,0

# Category: stone_types
stone,32,20,0,crafters_shop,stone_types,6,0
cobblestone,32,10,0,crafters_shop,stone_types,3,0
andesite,16,25,0,crafters_shop,stone_types,8,0
diorite,16,25,0,crafters_shop,stone_types,8,0
granite,16,25,0,crafters_shop,stone_types,8,0
deepslate,16,40,0,crafters_shop,stone_types,12,0
cobbled_deepslate,16,30,0,crafters_shop,stone_types,10,0
blackstone,16,60,0,crafters_shop,stone_types,20,0
end_stone,16,50,0,crafters_shop,stone_types,15,0
netherrack,32,10,0,crafters_shop,stone_types,3,0
calcite,8,100,0,crafters_shop,stone_types,35,0
tuff,16,40,0,crafters_shop,stone_types,12,0
polished_andesite,16,35,0,crafters_shop,stone_types,11,0
polished_diorite,16,35,0,crafters_shop,stone_types,11,0
polished_granite,16,35,0,crafters_shop,stone_types,11,0
polished_blackstone,16,70,0,crafters_shop,stone_types,22,0
polished_deepslate,16,50,0,crafters_shop,stone_types,15,0
polished_tuff,16,50,0,crafters_shop,stone_types,15,0
smooth_stone,16,30,0,crafters_shop,stone_types,10,0
smooth_sandstone,16,35,0,crafters_shop,stone_types,11,0
smooth_red_sandstone,16,45,0,crafters_shop,stone_types,13,0
smooth_quartz,16,200,0,crafters_shop,stone_types,65,0
smooth_basalt,16,70,0,crafters_shop,stone_types,22,0
basalt,16,40,0,crafters_shop,stone_types,12,0
chiseled_tuff,16,60,0,crafters_shop,stone_types,18,0
gilded_blackstone,1,250,0,crafters_shop,stone_types,80,0

# Category: stone_slabs
cobblestone_slab,32,6,0,crafters_shop,stone_slabs,2,0
stone_slab,32,12,0,crafters_shop,stone_slabs,4,0
smooth_stone_slab,32,18,0,crafters_shop,stone_slabs,5,0
andesite_slab,32,15,0,crafters_shop,stone_slabs,4,0
polished_andesite_slab,32,20,0,crafters_shop,stone_slabs,6,0
diorite_slab,32,15,0,crafters_shop,stone_slabs,4,0
polished_diorite_slab,32,20,0,crafters_shop,stone_slabs,6,0
granite_slab,32,15,0,crafters_shop,stone_slabs,4,0
polished_granite_slab,32,20,0,crafters_shop,stone_slabs,6,0
sandstone_slab,32,15,0,crafters_shop,stone_slabs,4,0
cut_sandstone_slab,32,15,0,crafters_shop,stone_slabs,4,0
smooth_sandstone_slab,32,20,0,crafters_shop,stone_slabs,6,0
red_sandstone_slab,32,20,0,crafters_shop,stone_slabs,6,0
cut_red_sandstone_slab,32,20,0,crafters_shop,stone_slabs,6,0
smooth_red_sandstone_slab,32,25,0,crafters_shop,stone_slabs,8,0
brick_slab,32,22,0,crafters_shop,stone_slabs,7,0
stone_brick_slab,32,18,0,crafters_shop,stone_slabs,5,0
mossy_stone_brick_slab,32,25,0,crafters_shop,stone_slabs,8,0
nether_brick_slab,32,35,0,crafters_shop,stone_slabs,11,0
red_nether_brick_slab,32,40,0,crafters_shop,stone_slabs,12,0
end_stone_brick_slab,32,35,0,crafters_shop,stone_slabs,11,0
quartz_slab,32,100,0,crafters_shop,stone_slabs,30,0
smooth_quartz_slab,32,110,0,crafters_shop,stone_slabs,33,0
prismarine_slab,32,80,0,crafters_shop,stone_slabs,25,0
prismarine_brick_slab,32,85,0,crafters_shop,stone_slabs,26,0
dark_prismarine_slab,32,90,0,crafters_shop,stone_slabs,28,0
blackstone_slab,32,35,0,crafters_shop,stone_slabs,11,0
polished_blackstone_slab,32,40,0,crafters_shop,stone_slabs,12,0
polished_blackstone_brick_slab,32,45,0,crafters_shop,stone_slabs,13,0
deepslate_slab,32,22,0,crafters_shop,stone_slabs,7,0 # Cobbled deepslate slab
cobbled_deepslate_slab,32,18,0,crafters_shop,stone_slabs,5,0
polished_deepslate_slab,32,30,0,crafters_shop,stone_slabs,9,0
deepslate_brick_slab,32,30,0,crafters_shop,stone_slabs,9,0
deepslate_tile_slab,32,30,0,crafters_shop,stone_slabs,9,0
mud_brick_slab,32,22,0,crafters_shop,stone_slabs,7,0
purpur_slab,32,60,0,crafters_shop,stone_slabs,18,0
tuff_slab,32,22,0,crafters_shop,stone_slabs,7,0
polished_tuff_slab,32,30,0,crafters_shop,stone_slabs,9,0
tuff_brick_slab,32,30,0,crafters_shop,stone_slabs,9,0

# Category: stone_stairs
cobblestone_stairs,16,15,0,crafters_shop,stone_stairs,4,0
andesite_stairs,16,30,0,crafters_shop,stone_stairs,9,0
polished_andesite_stairs,16,38,0,crafters_shop,stone_stairs,11,0
diorite_stairs,16,30,0,crafters_shop,stone_stairs,9,0
polished_diorite_stairs,16,38,0,crafters_shop,stone_stairs,11,0
granite_stairs,16,30,0,crafters_shop,stone_stairs,9,0
polished_granite_stairs,16,38,0,crafters_shop,stone_stairs,11,0
sandstone_stairs,16,30,0,crafters_shop,stone_stairs,9,0
smooth_sandstone_stairs,16,38,0,crafters_shop,stone_stairs,11,0
red_sandstone_stairs,16,40,0,crafters_shop,stone_stairs,12,0
smooth_red_sandstone_stairs,16,48,0,crafters_shop,stone_stairs,14,0
stone_stairs,16,22,0,crafters_shop,stone_stairs,7,0
stone_brick_stairs,16,35,0,crafters_shop,stone_stairs,11,0
mossy_stone_brick_stairs,16,45,0,crafters_shop,stone_stairs,13,0
nether_brick_stairs,16,50,0,crafters_shop,stone_stairs,15,0
red_nether_brick_stairs,16,55,0,crafters_shop,stone_stairs,16,0
end_stone_brick_stairs,16,50,0,crafters_shop,stone_stairs,15,0
quartz_stairs,16,150,0,crafters_shop,stone_stairs,45,0
smooth_quartz_stairs,16,160,0,crafters_shop,stone_stairs,48,0
prismarine_stairs,16,120,0,crafters_shop,stone_stairs,36,0
prismarine_brick_stairs,16,125,0,crafters_shop,stone_stairs,38,0
dark_prismarine_stairs,16,130,0,crafters_shop,stone_stairs,39,0
blackstone_stairs,16,70,0,crafters_shop,stone_stairs,20,0
polished_blackstone_stairs,16,80,0,crafters_shop,stone_stairs,25,0
polished_blackstone_brick_stairs,16,85,0,crafters_shop,stone_stairs,26,0
cobbled_deepslate_stairs,16,35,0,crafters_shop,stone_stairs,11,0
polished_deepslate_stairs,16,60,0,crafters_shop,stone_stairs,18,0
deepslate_brick_stairs,16,60,0,crafters_shop,stone_stairs,18,0
deepslate_tile_stairs,16,60,0,crafters_shop,stone_stairs,18,0
mud_brick_stairs,16,45,0,crafters_shop,stone_stairs,13,0
purpur_stairs,16,80,0,crafters_shop,stone_stairs,25,0
tuff_stairs,16,45,0,crafters_shop,stone_stairs,13,0
polished_tuff_stairs,16,60,0,crafters_shop,stone_stairs,18,0
tuff_brick_stairs,16,60,0,crafters_shop,stone_stairs,18,0
resin_brick_stairs,16,60,0,crafters_shop,stone_stairs,18,0

# Category: stone_walls
cobblestone_wall,16,20,0,crafters_shop,stone_walls,6,0
mossy_cobblestone_wall,16,30,0,crafters_shop,stone_walls,10,0
brick_wall,16,60,0,crafters_shop,stone_walls,18,0
prismarine_wall,16,180,0,crafters_shop,stone_walls,55,0
red_sandstone_wall,16,45,0,crafters_shop,stone_walls,13,0
mossy_stone_brick_wall,16,45,0,crafters_shop,stone_walls,13,0
granite_wall,16,30,0,crafters_shop,stone_walls,9,0
stone_brick_wall,16,40,0,crafters_shop,stone_walls,12,0
nether_brick_wall,16,50,0,crafters_shop,stone_walls,15,0
andesite_wall,16,30,0,crafters_shop,stone_walls,9,0
red_nether_brick_wall,16,55,0,crafters_shop,stone_walls,16,0
sandstone_wall,16,30,0,crafters_shop,stone_walls,9,0
end_stone_brick_wall,16,50,0,crafters_shop,stone_walls,15,0
diorite_wall,16,30,0,crafters_shop,stone_walls,9,0
blackstone_wall,16,70,0,crafters_shop,stone_walls,20,0
polished_blackstone_wall,16,80,0,crafters_shop,stone_walls,25,0
polished_blackstone_brick_wall,16,85,0,crafters_shop,stone_walls,26,0
cobbled_deepslate_wall,16,35,0,crafters_shop,stone_walls,11,0
polished_deepslate_wall,16,60,0,crafters_shop,stone_walls,18,0
deepslate_brick_wall,16,60,0,crafters_shop,stone_walls,18,0
deepslate_tile_wall,16,60,0,crafters_shop,stone_walls,18,0
mud_brick_wall,16,45,0,crafters_shop,stone_walls,13,0
tuff_wall,16,45,0,crafters_shop,stone_walls,13,0
polished_tuff_wall,16,60,0,crafters_shop,stone_walls,18,0
tuff_brick_wall,16,60,0,crafters_shop,stone_walls,18,0
resin_brick_wall,16,60,0,crafters_shop,stone_walls,18,0

# Category: bricks_tiles
brick_block,16,150,0,crafters_shop,bricks_tiles,50,0
stone_bricks,16,30,0,crafters_shop,bricks_tiles,10,0
mossy_stone_bricks,16,50,0,crafters_shop,bricks_tiles,15,0
cracked_stone_bricks,16,40,0,crafters_shop,bricks_tiles,12,0
chiseled_stone_bricks,16,40,0,crafters_shop,bricks_tiles,12,0
deepslate_bricks,16,50,0,crafters_shop,bricks_tiles,15,0
cracked_deepslate_bricks,16,60,0,crafters_shop,bricks_tiles,18,0
deepslate_tiles,16,50,0,crafters_shop,bricks_tiles,15,0
cracked_deepslate_tiles,16,60,0,crafters_shop,bricks_tiles,18,0
polished_blackstone_bricks,16,80,0,crafters_shop,bricks_tiles,25,0
cracked_polished_blackstone_bricks,16,90,0,crafters_shop,bricks_tiles,28,0
